1,2,3,4,5,6,7,8,Simple Display,Description,Type,HSSP2 Strategic Objective,New HSSP2 Strat Obj (if changed),HSSP2 Strategic Program,New HSSP2 Strat Prog (if changed),Official (long) name,ID,,,,,,,,,,,,,,,,,,,,
,,Supply Of Essential Drugs And Consumables,,,,,,Supply Of Essential Drugs And Consumables Of Emergencies,Policies@ initiatives@ and strategies aiming to strategically increase the general quality and quantity of essential medical supplies@ including blood products. First@ review programmatic codes below to ensure your program isn't captured in the implementative codes below,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,02  SUPPLY OF ESSENTIAL DRUGS AND CONSUMABLES OF EMERGENCIES,1256,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,Technical Assistance,1257,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,Financial Support,1258,,,,,,,,,,,,,,,,,,,,
,,Planning@ Monitoring And Evaluation Of Essential Drug And Consumable Availability,,,,,,Planning@ Monitoring And Evaluation Of Essential Drug And Consumable Availability,Supervision and implementation of a system of pharmacovigilance.  Includes regular inspection of pharmacies and drugs.,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,03  PLANNING@ MONITORING AND EVALUATION OF ESSENTIAL DRUG AND CONSUMABLE AVAILABILITY,1259,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,Technical Assistance,1260,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,Financial Support,1261,,,,,,,,,,,,,,,,,,,,
,,Research And Pharmaceutical Information,,,,,,Research And Pharmaceutical Information,Research into pharmaceuticals in use is conducted and information is made available to stakeholders,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,04  RESEARCH AND PHARMACEUTICAL INFORMATION,1262,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,Technical Assistance,1263,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,Financial Support,1264,,,,,,,,,,,,,,,,,,,,
,,Supply Of Essential Drugs And Consumables Of Community Health,,,,,,Supply Of Essential Drugs And Consumables Of Community Health,Drugs and other supplies are made available for use by the health community,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,05  SUPPLY OF ESSENTIAL DRUGS AND CONSUMABLES OF COMMUNITY HEALTH,1265,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,Technical Assistance,1266,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,Financial Support,1267,,,,,,,,,,,,,,,,,,,,
,,Supply Chain Logistics,,,,,,Supply Chain Logistics,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,06  SUPPLY CHAIN LOGISTICS,,,,,,,,,,,,,,,,,,,,,
,,,Technical Assistance,,,,,Technical Assistance,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,Technical Assistance,,,,,,,,,,,,,,,,,,,,,
,,,Financial Support,,,,,Financial Support,,Mtef,Across all 3 objectives,,Commodities@ Supply and Logistics,,Financial Support,,,,,,,,,,,,,,,,,,,,,
